,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
1,1,Logistic,0.904761905,0.863636364,1,0.571428571,0.727272727
2,1,Random Forest,1,0.818181818,1,0.428571429,0.6
3,1,ANN,0.964285714,0.863636364,0.833333333,0.714285714,0.769230769
4,2,Logistic,0.892857143,0.863636364,0.833333333,0.714285714,0.769230769
5,2,Random Forest,1,0.818181818,1,0.428571429,0.6
6,2,ANN,0.988095238,0.909090909,1,0.714285714,0.833333333
7,3,Logistic,0.880952381,0.863636364,0.888888889,0.8,0.842105263
8,3,Random Forest,0.988095238,0.772727273,0.857142857,0.6,0.705882353
9,3,ANN,0.988095238,0.681818182,0.714285714,0.5,0.588235294
10,4,Logistic,0.916666667,0.772727273,0.6,0.857142857,0.705882353
11,4,Random Forest,1,0.909090909,0.857142857,0.857142857,0.857142857
12,4,ANN,0.952380952,0.772727273,0.666666667,0.571428571,0.615384615
13,5,Logistic,0.869047619,0.863636364,0.666666667,0.5,0.571428571
14,5,Random Forest,0.988095238,0.909090909,1,0.5,0.666666667
15,5,ANN,0.94047619,0.727272727,0.375,0.75,0.5
16,6,Logistic,0.869047619,0.954545455,1,0.875,0.933333333
17,6,Random Forest,0.988095238,0.909090909,0.875,0.875,0.875
18,6,ANN,0.928571429,0.863636364,1,0.625,0.769230769
19,7,Logistic,0.869047619,0.818181818,0.5,1,0.666666667
20,7,Random Forest,1,0.818181818,0.5,0.75,0.6
21,7,ANN,0.952380952,0.818181818,0.5,0.75,0.6
22,8,Logistic,0.904761905,0.863636364,0.857142857,0.75,0.8
23,8,Random Forest,0.988095238,0.772727273,1,0.375,0.545454545
24,8,ANN,0.976190476,0.909090909,0.875,0.875,0.875
25,9,Logistic,0.904761905,0.727272727,0.571428571,1,0.727272727
26,9,Random Forest,0.988095238,0.954545455,0.888888889,1,0.941176471
27,9,ANN,0.952380952,0.954545455,1,0.875,0.933333333
28,10,Logistic,0.904761905,0.909090909,1,0.714285714,0.833333333
29,10,Random Forest,0.988095238,0.863636364,0.833333333,0.714285714,0.769230769
30,10,ANN,0.952380952,0.772727273,0.625,0.714285714,0.666666667
31,11,Logistic,0.892857143,0.818181818,0.8,0.571428571,0.666666667
32,11,Random Forest,1,0.772727273,0.75,0.428571429,0.545454545
33,11,ANN,0.964285714,0.818181818,0.8,0.571428571,0.666666667
34,12,Logistic,0.880952381,0.863636364,0.75,0.857142857,0.8
35,12,Random Forest,1,0.863636364,0.833333333,0.714285714,0.769230769
36,12,ANN,0.964285714,0.772727273,0.625,0.714285714,0.666666667
37,13,Logistic,0.869047619,0.772727273,0.571428571,0.666666667,0.615384615
38,13,Random Forest,0.988095238,0.863636364,0.8,0.666666667,0.727272727
39,13,ANN,0.964285714,0.727272727,0.5,0.833333333,0.625
40,14,Logistic,0.869047619,0.954545455,1,0.833333333,0.909090909
41,14,Random Forest,0.988095238,0.909090909,0.833333333,0.833333333,0.833333333
42,14,ANN,0.952380952,0.681818182,0.454545455,0.833333333,0.588235294
43,15,Logistic,0.880952381,0.909090909,0.833333333,0.833333333,0.833333333
44,15,Random Forest,1,0.863636364,0.8,0.666666667,0.727272727
45,15,ANN,0.964285714,0.772727273,0.571428571,0.666666667,0.615384615
46,16,Logistic,0.904761905,0.863636364,1,0.571428571,0.727272727
47,16,Random Forest,0.988095238,0.772727273,0.75,0.428571429,0.545454545
48,16,ANN,0.928571429,0.818181818,1,0.428571429,0.6
49,17,Logistic,0.880952381,0.818181818,0.666666667,0.857142857,0.75
50,17,Random Forest,1,0.818181818,0.666666667,0.857142857,0.75
51,17,ANN,1,0.681818182,0.5,0.714285714,0.588235294
52,18,Logistic,0.892857143,0.863636364,0.6,0.75,0.666666667
53,18,Random Forest,0.988095238,0.863636364,0.666666667,0.5,0.571428571
